,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
24,2013-06-18,0.10058678,0.12076808,0.16067374,0.18363002,0.18826781,0.20431766,0.2775697,0.5582727,,0.08987874,0.113754824,0.15725935,0.16749288,0.16557506,0.19604358,0.30314195,0.53700006,0.72097147,0.08489076,0.11922009,0.15580542,0.13749969,0.15956017,0.19900303,0.30144212,0.5185902,0.64420456,0.09111996,0.11686492,0.13299985,0.13407105,0.1696979,0.20439297,0.28410205,0.50180537,0.75942016,0.08708531,0.10171766,0.118497394,0.13305497,0.17668167,0.20832564,0.25775227,0.4360487,0.7292109,0.07733418,0.0903387,0.109666005,0.13266559,0.19565998,0.19743341,0.24600369,0.39178023,0.6724907,0.065867975,0.081798054,0.104904205,0.13178232,0.18177812,0.2085072,0.21491995,0.35205206,0.7007702,0.060813732,0.07955055,0.10812584,0.1304019,0.19164333,0.17948425,0.17527813,0.25557157,0.58352435
25,2013-06-25,0.10058678,0.12076808,0.16067374,0.18363002,0.18826781,0.20431766,0.2775697,0.5582727,0.8513403,0.08987874,0.113754824,0.15725935,0.16749288,0.16557506,0.19604358,0.30314195,0.53700006,0.72097147,0.08489076,0.11922009,0.15580542,0.13749969,0.15956017,0.19900303,0.30144212,0.5185902,0.64420456,0.09111996,0.11686492,0.13299985,0.13407105,0.1696979,0.20439297,0.28410205,0.50180537,0.75942016,0.08708531,0.10171766,0.118497394,0.13305497,0.17668167,0.20832564,0.25775227,0.4360487,0.7292109,0.07733418,0.0903387,0.109666005,0.13266559,0.19565998,0.19743341,0.24600369,0.39178023,0.6724907,0.065867975,0.081798054,0.104904205,0.13178232,0.18177812,0.2085072,0.21491995,0.35205206,0.7007702,0.060813732,0.07955055,0.10812584,0.1304019,0.19164333,0.17948425,0.17527813,0.25557157,0.58352435
26,2013-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2013-07-09,,,,,,,,,0.87839323,,,,,,,,,0.869641,,,,,,,,,0.87458295,,,,,,,,,0.8769789,,,,,,,,,0.8743266,,,,,,,,,0.8750871,,,,,,,,,0.8822929,,,,,,,,,0.879863
28,2013-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2013-07-23,,,,,,,,,0.89052165,,,,,,,,,0.8861271,,,,,,,,,0.8922973,,,,,,,,,0.8978159,,,,,,,,,0.8953403,,,,,,,,,0.8962744,,,,,,,,,0.89388525,,,,,,,,,0.888081
30,2013-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2013-08-06,,,,,,,,,0.89032674,,,,,,,,,0.8940795,,,,,,,,,0.90033376,,,,,,,,,0.9035902,,,,,,,,,0.903376,,,,,,,,,0.90297526,,,,,,,,,0.89962506,,0.8829405,,,,,,,0.9020005
32,2013-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2013-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2013-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2013-09-10,,,,,0.7098945,0.7144365,0.7008519,0.5248509,0.546121,,,,0.70140207,0.604996,0.59197086,0.660547,0.5705048,0.6004238,,,,0.7058764,0.72074383,0.7108346,,0.7475762,0.7539712,0.6444714,0.7498497,,,,,,0.7246194,0.6754552,0.51683784,0.61321527,,,,,,0.68927187,0.69972104,,0.54755104,,,,,,0.6040159,0.7133306,,0.6665974,,,,,,,,,,,,,,,,
37,2013-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
