,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
33,2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2013-08-27,0.8521192,,,0.8573169,0.86571586,0.86205065,0.86020213,0.83300704,0.8308889,0.84448004,,0.8799251,0.8744177,0.84907997,0.79714483,0.80787534,0.82024336,,0.88196653,0.87899613,0.8596569,0.79022914,0.7931796,0.8143753,0.8257901,0.8399286,0.8612504,0.84929544,0.79367715,0.7816406,0.80197406,0.79466546,0.8123262,0.8147509,0.80283356,0.8124559,0.79646784,0.8001927,0.81274205,0.8125394,0.80346304,0.79353267
35,2013-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2013-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2013-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2013-10-08,0.037402034,0.037717625,0.035120685,0.036762558,0.038897574,0.0384543,0.03408463,0.0349074,0.03479351,0.032319482,,0.036450073,0.034820516,0.034509268,0.03370629,0.03064212,0.03073277,0.032381255,0.032227468,0.033355746,0.032912564,0.026168866,0.027717488,0.024458822,0.026147522,0.027519474,0.03059455,0.03107589,0.019665398,0.025658876,0.024825793,0.02597707,0.02190985,0.024516365,0.02647905,0.016463785,0.02103939,0.022304416,0.020394715,0.01762788,0.017978199,0.01787341
41,2013-10-15,0.037402034,0.037717625,0.035120685,0.036762558,0.038897574,0.0384543,0.03408463,0.0349074,0.03479351,0.032319482,0.031677794,0.036450073,0.034820516,0.034509268,0.03370629,0.03064212,0.03073277,0.032381255,0.032227468,0.033355746,0.032912564,0.026168866,0.027717488,0.024458822,0.026147522,0.027519474,0.03059455,0.03107589,0.019665398,0.025658876,0.024825793,0.02597707,0.02190985,0.024516365,0.02647905,0.016463785,0.02103939,0.022304416,0.020394715,0.01762788,0.017978199,0.01787341
42,2013-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2013-10-29,,,,,,0.27633247,0.22967874,,,,,,0.3549416,0.2725591,,,,,,,0.34491256,,,,,0.33676422,0.31859294,0.28686675,,,,,0.2905501,0.257235,0.2502694,0.33667102,,,,0.31292966,0.26247308,0.2661265
44,2013-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2013-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2013-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2013-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2013-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2013-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2013-12-31,,,,,,,,,0.0007033018,0.0013692802,,,,,,,0.0022229403,,,,,,,,,,,,,,,,,,,,,,,,,
53,2014-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2014-01-14,0.22974196,0.22430374,0.21271141,0.19524816,0.18748121,0.17257953,0.15769543,0.2285883,0.21110117,0.18934295,0.19012098,0.1838145,0.16753253,0.14634992,0.22237964,0.20681441,0.18408397,0.17442922,0.1844702,0.1606211,0.13759679,0.2109332,0.19241646,0.1822031,0.16852023,0.18330945,0.15524769,0.13784947,0.18547443,0.18139993,0.18324718,0.17661706,0.169716,0.15061916,0.14409931,0.17907666,0.18010679,0.17919101,0.17181863,0.16431983,0.15301841,0.15274912
55,2014-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2014-01-28,0.29770106,0.2649621,0.16139811,0.12518218,0.12639435,0.11877611,0.11347233,0.14933501,0.13154745,0.09122847,0.078380644,0.075568445,0.08031262,0.09412184,0.072290346,0.06940618,0.059047963,0.054397203,0.052949145,0.04951022,0.048638593,0.0489511,0.044099666,0.040919464,0.04463577,0.040548056,0.033409692,0.03519168,0.044341978,0.038897015,0.032281723,0.034783803,0.030457713,0.02734552,0.02338423,0.03863804,0.03271486,0.026918927,0.026201326,0.024203865,0.021409066,0.016572528
57,2014-02-04,0.29770106,0.2649621,0.16139811,0.12518218,0.12639435,0.11877611,0.11347233,0.14933501,0.13154745,0.09122847,0.078380644,0.075568445,0.08031262,0.09412184,0.072290346,0.06940618,0.059047963,0.054397203,0.052949145,0.04951022,0.048638593,0.0489511,0.044099666,0.040919464,0.04463577,0.040548056,0.033409692,0.03519168,0.044341978,0.038897015,0.032281723,0.034783803,0.030457713,0.02734552,0.02338423,0.03863804,0.03271486,0.026918927,0.026201326,0.024203865,0.021409066,0.016572528
58,2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2014-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2014-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2014-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2014-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2014-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
