,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
148,2015-11-03,0.7444907,0.7271889,0.7218618,0.74077034,0.75830024,0.7243994,0.7108028,0.76957333,0.78211844,0.7439635,0.7198241,0.7151381,0.7149749,0.71046066,0.8201054,0.83269167,0.7942006,0.7543047,0.7423805,0.7585279,0.7514838,0.81231207,0.81965786,0.8153601,0.7911805,0.77659905,0.7731887,0.7764216,0.7937144,0.79789394,0.7888908,0.79607487,0.79624885,0.79189384,0.7612996,0.7871629,0.7789495,0.75443894,0.71709925,0.8169468,0.8067565,0.8077044
149,2015-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2015-11-17,0.80828923,0.8352433,0.8057762,0.7747506,,,,0.77180505,0.8051081,0.77184147,0.71581393,,,,0.85564774,0.87676907,0.8460349,0.7446907,,,,0.8492288,0.8613357,0.8646926,0.83334017,0.79974616,0.6866947,0.5910495,0.83843446,0.8313445,0.8304659,0.8129874,0.7875497,0.59868985,0.5442619,0.82865983,0.84687203,0.83037525,0.813632,0.71010077,0.5881838,0.5533406
151,2015-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2015-12-01,0.6140614,0.6109705,0.59058934,0.58745867,0.62424195,0.70149755,0.8104866,0.7564677,0.83949643,0.756855,0.6403093,0.68487424,0.83754766,0.87458414,0.86990714,0.9011185,0.8704792,0.70022494,0.6547306,0.77398264,0.78288853,0.88019145,0.89347094,0.86279184,0.78579074,0.7337287,0.73106194,0.7067011,0.86456716,0.8541593,0.84137136,0.84960014,0.8413711,0.83644545,0.83499163,0.845226,0.8477018,0.8128442,0.79645115,0.88203067,0.8857237,0.88125616
153,2015-12-08,0.6140614,0.6109705,0.59058934,0.58745867,0.62424195,0.70149755,0.8104866,0.7564677,0.83949643,0.756855,0.6403093,0.68487424,0.83754766,0.87458414,0.86990714,0.9011185,0.8704792,0.70022494,0.6547306,0.77398264,0.78288853,0.88019145,0.89347094,0.86279184,0.78579074,0.7337287,0.73106194,0.7067011,0.86456716,0.8541593,0.84137136,0.84960014,0.8413711,0.83644545,0.83499163,0.845226,0.8477018,0.8128442,0.79645115,0.88203067,0.8857237,0.88125616
154,2015-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2015-12-22,0.54030704,0.53808665,0.54291534,0.54729694,0.5306439,0.5633099,0.6019326,0.741854,0.7455914,0.73839283,0.58481014,0.5827844,0.6482737,0.621076,0.85172576,0.8569942,0.81862634,0.662543,0.59186476,0.58169705,0.5757879,0.8312846,0.85619026,0.83929974,0.7900835,0.7172322,0.638537,0.60882276,0.80586886,0.8244852,0.81665474,0.850539,0.8164036,0.7646452,0.7441801,0.7856615,0.8008019,0.77750105,0.7860794,0.8215378,0.8237745,0.8201337
156,2015-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2016-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2016-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2016-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2016-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2016-02-09,0.02483792,0.037175316,0.03341797,0.02839451,0.018472714,0.014398002,0.012108644,0.035660453,0.04982349,0.04328406,0.03160119,0.026751986,0.015813924,0.003810545,0.050082546,0.060811907,0.039607618,0.013017111,0.0031053512,0.009756888,0.0023041926,0.05258562,0.03613894,0.030758115,0.016823076,0.008700426,0.013217095,0.011726562,0.04114063,0.03458304,0.037546754,0.026729565,0.01724116,0.018964663,0.019709712,0.036823846,0.036339458,0.034330077,0.036125258,0.030542914,0.02389101,0.024109423
163,2016-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,2016-02-23,0.004032206,0.005580274,0.0067823473,0.009034516,0.012510299,0.01405618,0.013136244,0.0046982286,,0.0069977497,0.008223124,0.01064684,0.010777403,0.009555197,,,,0.008250598,0.008829774,0.01025179,0.008595601,,,,0.008751718,0.008194971,0.0073901024,0.0074642734,,,,0.00835758,0.0068036565,0.0070743496,0.0071569304,0.003748387,,0.0067575467,0.0053001186,0.0053210272,0.006520599,0.0055847308
165,2016-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2016-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2016-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,2016-03-22,0.48692113,0.4937428,0.4744501,0.45412803,0.45302707,0.49343163,0.51083595,0.52110654,0.5701593,0.52584785,0.4649705,0.46052986,0.48404384,0.48671958,0.5647835,0.587744,0.54797834,0.44654155,0.44977203,0.4703792,0.47414613,0.5457945,0.5571308,0.53672534,0.48287427,0.46927595,0.4722507,0.48061582,0.5235957,0.51974213,0.5170242,0.51028055,0.48629734,0.4845106,0.4823358,0.5180012,0.5231242,0.5052249,0.49588597,0.48128167,0.4625328,0.48993188
169,2016-03-29,0.48692113,0.4937428,0.4744501,0.45412803,0.45302707,0.49343163,0.51083595,0.52110654,0.5701593,0.52584785,0.4649705,0.46052986,0.48404384,0.48671958,0.5647835,0.587744,0.54797834,0.44654155,0.44977203,0.4703792,0.47414613,0.5457945,0.5571308,0.53672534,0.48287427,0.46927595,0.4722507,0.48061582,0.5235957,0.51974213,0.5170242,0.51028055,0.48629734,0.4845106,0.4823358,0.5180012,0.5231242,0.5052249,0.49588597,0.48128167,0.4625328,0.48993188
170,2016-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2016-04-12,0.50111693,0.52949506,0.52165365,0.5182618,0.51864725,0.5330669,0.5223496,0.47939122,0.5461172,0.53346324,0.5343503,0.56118786,0.56653357,0.53107,0.50872463,0.5683555,0.55806774,0.5209197,0.54767644,0.54813194,0.5260452,0.51793194,0.5526863,0.5726318,0.50950736,0.48050588,0.48611668,0.5092181,0.47171003,0.49452597,0.536219,0.51630086,0.46234387,0.46931005,0.48778972,0.4809591,0.5040935,0.52145135,0.50681674,0.45143515,0.46824053,0.4749144
172,2016-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2016-04-26,0.7886106,0.79121274,0.7887114,0.7921164,0.79063624,0.77845204,0.78090835,0.72180176,0.71547407,0.7325824,0.76423097,0.78447634,0.7829949,0.7820804,0.65871954,0.65890974,0.67974377,0.6788061,0.72995496,0.783886,0.7848297,0.6349778,0.64099723,0.6375997,0.635497,0.7035887,0.77757543,0.7823218,0.6399697,0.6427127,0.6314524,0.6495931,0.7053098,0.7640078,0.743811,0.64184517,0.63853526,0.6313486,0.6459348,0.6949234,0.76134956,0.7212541
174,2016-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,2016-05-10,0.89523244,0.8932038,0.89557064,0.8955667,0.8942697,0.8873126,0.8858411,0.87257296,0.86773604,0.87238073,0.88057584,0.8937683,0.88830096,0.8875089,0.83020705,0.8333374,0.84670526,0.734526,0.8283989,0.8874349,0.8923004,0.8128279,0.8308302,0.8266873,0.7729769,0.80011296,0.879523,0.8836381,0.8067557,0.8215152,0.82969445,0.8266151,0.8283918,0.8412948,0.836542,0.8063993,0.8089647,0.8189445,0.82534516,0.8244187,0.81634533,0.80787116
176,2016-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2016-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,2016-05-31,0.5368579,0.7946349,0.80635554,0.81951326,0.839312,0.7829738,0.7214384,0.6377473,0.91911906,0.752688,0.7069859,0.75483763,0.7654823,0.7645491,0.72439474,0.69712913,0.6624174,0.67248863,0.7735129,0.87001777,0.8135008,0.55461514,0.59003097,0.55843973,0.6108392,0.67013127,0.76706153,0.6940392,0.4108042,0.4780137,0.49160963,0.5827375,0.55368197,0.6680927,0.6376242,0.44318986,0.50301456,0.5373728,0.5821335,0.57010156,0.559444,0.5564276
179,2016-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2016-06-14,0.73456067,0.7508742,0.7798057,0.7568958,0.73228395,0.72612774,0.75391763,0.74781996,0.7485107,0.75713885,0.75650984,0.7711098,0.7767639,0.7849722,0.65765995,0.6606955,0.6700561,0.65683466,0.71871954,0.78090477,0.7723891,0.60615546,0.6104323,0.6195492,0.6427249,0.68897796,0.7731268,0.7407325,0.5764771,0.58369946,0.5908263,0.62486243,0.6748785,0.7378908,0.6935961,0.57845396,0.58149886,0.58520055,0.60886943,0.63782203,0.66852695,0.64330506
181,2016-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,2016-06-28,0.890387,0.8880018,0.88922155,0.89410776,0.8964981,0.89214045,0.88489634,0.85767764,0.852439,0.8617377,0.87420183,0.8925552,0.89004177,0.8849971,0.8246691,0.82563055,0.83601665,0.72833693,0.8274718,0.88904595,0.88625336,0.8099256,0.8215061,0.8180554,0.77057856,0.80416876,0.8739962,0.8782481,0.81622833,0.8183255,0.8253992,0.8227623,0.82231015,0.8333229,0.8281038,0.81852585,0.8098496,0.81782085,0.82520014,0.817721,0.80914474,0.79749435
183,2016-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2016-07-12,0.8969338,0.8957028,0.8991723,0.9045494,0.90713674,0.90316594,0.8992306,0.8625806,0.85860234,0.86427754,0.8791913,0.9019522,0.902343,0.8980004,0.8204572,0.8251023,0.83891094,0.7390789,0.8391956,0.89627993,0.90131545,0.8076601,0.824815,0.82372135,0.77548116,0.8023428,0.88473064,0.8831779,0.81599486,0.82194054,0.8318481,0.83069813,0.82683647,0.8334134,0.8272171,0.8206799,0.811853,0.82323605,0.83284277,0.82416636,0.81469613,0.80150336
185,2016-07-19,0.8969338,0.8957028,0.8991723,0.9045494,0.90713674,0.90316594,0.8992306,0.8625806,0.85860234,0.86427754,0.8791913,0.9019522,0.902343,0.8980004,0.8204572,0.8251023,0.83891094,0.7390789,0.8391956,0.89627993,0.90131545,0.8076601,0.824815,0.82372135,0.77548116,0.8023428,0.88473064,0.8831779,0.81599486,0.82194054,0.8318481,0.83069813,0.82683647,0.8334134,0.8272171,0.8206799,0.811853,0.82323605,0.83284277,0.82416636,0.81469613,0.80150336
186,2016-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,2016-08-02,,,,,,,0.9047753,0.8704248,0.85615927,0.86657566,0.8770741,0.9021514,0.9067136,0.90548,0.8287671,0.83447015,0.83643234,0.7851561,0.8558761,0.90262735,0.90567744,0.818024,0.82814384,0.8161281,0.7634739,0.8005223,0.8826721,0.8829008,0.8179928,0.8234214,0.82849336,0.8278445,0.8264651,0.833481,0.8326003,0.8171585,0.8088497,0.82413363,0.8315331,0.8248868,0.8200829,0.8003161
188,2016-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,2016-08-16,,,,0.3323375,,0.36739022,0.5429523,,,0.35038558,0.46131897,0.45457745,0.5669189,0.7140608,,0.33450443,0.45388597,0.3830698,0.5824829,0.73473364,0.7439698,0.53152126,0.59768814,0.65750456,0.511571,0.66334224,0.7654995,0.7627175,0.80146974,0.7659408,0.7980373,0.79286015,0.78253347,0.787085,0.79731137,0.8369395,0.8122897,0.78196853,0.80546314,0.7861468,0.735275,0.7648536
190,2016-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,2016-08-30,,,,,,,0.63614494,,,,,,0.66128176,0.6171604,,,,,0.6313005,0.6270539,0.61828345,,,,,0.6195527,0.5917797,0.5818678,,,0.6791098,0.61774725,0.5920908,0.56017923,0.55412865,,0.7613266,0.63003784,0.54103804,0.5509223,0.54010653,0.53393203
192,2016-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,2016-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2016-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2016-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2016-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2016-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2016-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4491526
199,2016-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2016-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2016-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2016-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2016-11-22,0.39594102,0.37706,0.38271064,0.3877224,0.3874683,0.38072327,0.36969146,0.4305608,0.41750845,0.40730295,0.3954345,0.3917138,0.38988698,0.3641247,0.48640683,0.4812145,0.45489627,0.4229541,0.4118633,0.3942781,0.36153936,0.5142674,0.5228038,0.51182485,0.47304586,0.45989627,0.42883703,0.39885524,0.51834774,0.52261233,0.52261096,0.49778765,0.49847937,0.47112703,0.43939933,0.5088656,0.5047003,0.5058926,0.507547,0.5184289,0.5075183,0.48142073
204,2016-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2016-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2016-12-20,,,,,,,,,,,,,,,,,,,,,0.53736556,,,,,,,0.595127,,,,,,,,,,,,,,
208,2016-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2017-01-24,0.32003886,0.24131924,0.27161154,0.28224567,0.24384537,0.26350087,0.27250966,0.5709617,0.4625908,0.45381615,0.25543565,0.26572922,0.3110236,0.31756288,,,,0.26463297,0.25344244,0.42426813,,,,,0.48809487,0.39685208,,,,,,,,,,,,,,,,
213,2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2017-02-07,,,,,1.7719429e-05,0.005391162,0.009767059,,,,,0.0014837035,0.005739239,0.006832839,,,,0.0022745635,0.004314144,0.0077096433,0.01093935,,,,,,,,,,,,,,,,,,,,,
215,2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2017-02-21,0.23535423,0.23114356,0.24767764,0.27135718,0.2592632,0.23424038,0.22345848,0.2615433,0.26030555,0.26153898,0.2557352,0.24212724,0.23929588,0.21702278,0.3004368,0.2841,0.28605795,0.25893956,0.25949356,0.25271064,0.23610102,0.34209532,0.33434218,0.33929482,0.30374458,0.28862447,0.26216242,0.24374962,0.35608965,0.37359542,0.37774402,0.37399578,0.36353338,0.31822506,0.27420425,0.35977775,0.39366332,0.38837624,0.39125755,0.4120776,0.35458547,0.33064586
217,2017-02-28,0.23535423,0.23114356,0.24767764,0.27135718,0.2592632,0.23424038,0.22345848,0.2615433,0.26030555,0.26153898,0.2557352,0.24212724,0.23929588,0.21702278,0.3004368,0.2841,0.28605795,0.25893956,0.25949356,0.25271064,0.23610102,0.34209532,0.33434218,0.33929482,0.30374458,0.28862447,0.26216242,0.24374962,0.35608965,0.37359542,0.37774402,0.37399578,0.36353338,0.31822506,0.27420425,0.35977775,0.39366332,0.38837624,0.39125755,0.4120776,0.35458547,0.33064586
218,2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2017-03-14,0.5279585,0.50346094,0.5281045,0.5102738,0.5329519,0.574746,0.54390377,0.6538582,0.6724779,0.6171645,0.49637693,0.5198064,0.56168556,0.5234808,0.7436941,,0.6906076,0.5024607,0.52354175,0.55146796,0.5484184,0.72392946,0.73261684,0.7350876,0.670445,0.63372517,0.590102,0.5939008,0.7113687,0.70155054,0.6998803,0.6968857,0.70497954,0.6878889,0.6776052,0.69901127,0.6919475,0.6653299,0.6446666,0.72212124,0.72413146,0.7207154
220,2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2017-03-28,0.42423537,0.41756365,0.42151403,0.429054,0.43594357,0.4488733,0.45137423,0.42857593,0.42717108,0.43201104,0.40386766,0.43524715,0.4416929,0.42581257,0.44181204,0.4520548,0.43648785,0.39410454,0.4182757,0.42535853,0.4196767,0.43647295,0.44162285,0.44008172,0.429074,0.4198527,0.42128333,0.42441303,0.42595315,0.42650914,0.43269596,0.43838167,0.43822262,0.43749005,0.43940085,0.4270629,0.42609802,0.42036337,0.41819933,0.44216445,0.44428125,0.4495739
222,2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2017-04-11,,,,,0.82024616,0.8313413,0.8269529,0.84381807,0.8418739,0.8272608,0.7586975,0.8049412,0.8435222,,0.8172346,0.8296439,0.8055971,0.68409616,,,0.8500714,0.8075469,0.82382905,0.81944674,0.7580137,0.79531944,0.84144455,0.84629977,0.79999655,0.8063005,0.8140336,0.8189657,0.8046051,0.79697967,0.8029348,0.8052756,0.8105125,0.8259083,0.8288247,0.82076114,0.7977053,0.7844179
224,2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2017-05-02,0.8880825,0.8921878,0.89223784,0.87949413,0.8917938,0.8953575,0.89651203,0.8685742,0.8575683,0.86223537,0.77906936,0.8794957,0.8954997,0.893635,0.8236303,0.8342485,0.7965761,0.7272022,0.8409884,0.893932,0.8908114,0.7926521,0.8171821,0.8183903,0.788369,0.82681423,0.8752084,0.8756806,0.78605634,0.79846394,0.81167436,0.8095272,0.82332796,0.83377254,0.8257759,0.78150666,0.7865839,0.80140096,0.81166965,0.80644643,0.8018688,0.78518385
227,2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2017-05-16,0.71686196,0.63931495,0.60163623,0.60685855,0.6024112,0.58143145,0.54588574,0.61199284,0.5667443,0.56805646,0.54282993,0.542246,0.5232322,0.51140106,0.55932826,0.5330801,0.5453762,0.53051144,0.5494394,0.5516708,0.5314765,0.52912104,0.5265702,0.53052086,0.5463111,0.5739954,0.6166587,0.56239945,0.5250741,0.52644306,0.52809775,0.57333225,0.66574067,0.6643136,0.5837161,0.5252158,0.5188561,0.5322644,0.5836117,0.63823676,0.67518014,0.55671716
229,2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2017-05-30,0.74757093,0.69974416,0.67482173,0.6661867,0.8236954,0.81226534,0.7828262,0.64593065,0.61543614,0.63480204,0.66650695,0.78492486,0.8437728,0.77395296,0.558778,0.5113521,0.5566214,0.61414486,0.67891073,0.7588108,0.7359596,0.57698476,0.50529313,0.52690506,0.63125765,0.7776358,0.8632376,0.7474686,0.6600191,0.50861996,0.5205869,0.6752669,0.8638637,0.91853076,0.8336025,0.5957984,0.4776064,0.5530216,0.70113814,0.84615386,0.89891857,0.84979534
231,2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2017-06-13,0.8953183,0.8929677,0.8956098,0.8921221,0.8915502,0.9032603,0.8940461,0.8581224,0.8551629,0.8163589,0.7976576,0.857954,0.9017298,0.8956461,0.80374366,0.8069689,0.78900605,0.76215833,0.84805053,0.9006984,0.899529,0.7884495,0.8032526,0.8007977,0.77334005,0.82885915,0.8797938,0.87668014,0.8030409,0.8038834,0.81610197,0.80931365,0.8110465,0.8236077,0.81177956,0.8097638,0.7961709,0.8043674,0.8082733,0.7994603,0.79055905,0.7791754
233,2017-06-20,0.8953183,0.8929677,0.8956098,0.8921221,0.8915502,0.9032603,0.8940461,0.8581224,0.8551629,0.8163589,0.7976576,0.857954,0.9017298,0.8956461,0.80374366,0.8069689,0.78900605,0.76215833,0.84805053,0.9006984,0.899529,0.7884495,0.8032526,0.8007977,0.77334005,0.82885915,0.8797938,0.87668014,0.8030409,0.8038834,0.81610197,0.80931365,0.8110465,0.8236077,0.81177956,0.8097638,0.7961709,0.8043674,0.8082733,0.7994603,0.79055905,0.7791754
234,2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,2017-07-04,0.9031049,0.9051959,0.9046171,0.88855237,0.9069778,0.90935844,0.9073451,0.87125254,0.8572715,0.85513234,0.7641095,0.8929151,0.9059025,0.9071407,0.8162483,0.82425654,0.81004417,0.7307962,0.8693252,0.9048308,0.90681994,0.7963926,0.8116914,0.8126329,0.7960767,0.83080244,0.8854475,0.8844983,0.80296594,0.8110499,0.8189411,0.8155602,0.8244353,0.82980806,0.8256585,0.8116474,0.7967598,0.82409513,0.8207586,0.81358045,0.80929226,0.78268594
236,2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2017-07-18,1.0,1.0,0.97184926,0.9241803,0.90993017,0.88932145,0.85373896,1.0,1.0,1.0,0.8978849,0.9247763,0.89798623,0.8489975,1.0,1.0,,0.90084076,0.9558005,0.953486,0.9206406,,1.0,1.0,,1.0,1.0,0.9915485,0.9042385,,1.0,1.0,1.0,1.0,1.0,0.8997566,1.0,1.0,1.0,1.0,1.0,1.0
238,2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,2017-08-01,0.86277294,0.86449283,0.86314905,0.8515133,0.86686236,0.8674184,0.85737735,0.82914877,0.82455647,0.80485576,0.7445958,0.84522486,0.86104196,0.8608835,0.78074026,0.7879948,0.77169096,0.7283872,0.8277195,0.8674042,0.86855996,0.76726377,0.78316593,0.78519,0.77062756,0.80770355,0.8527405,0.8516418,0.7798591,0.78681475,0.80384684,0.81256676,0.8130484,0.81038576,0.80690837,0.79649067,0.78609616,0.8005083,0.8006652,0.79719263,0.790744,0.7749934
240,2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,2017-08-22,,,,,,,,,,,,,,,0.7964194,0.8024313,0.7743265,0.734971,,,,0.77860993,0.793116,0.79428107,0.7742713,0.81312454,,,0.7884072,0.78888345,0.8059479,0.8130027,0.8136216,0.8178505,0.8119215,0.79914236,0.79043067,0.7962195,0.8004214,0.8004575,0.7921831,0.780966
243,2017-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,2017-09-05,,,,0.28162867,0.2852064,0.26734194,0.3195713,0.21455076,,0.27860376,0.3313724,0.30013368,0.25999162,0.32048395,0.2533323,0.27732372,0.35596514,0.4021937,0.3273345,0.2564215,0.28657418,0.3047127,0.3931825,0.44733706,0.41921452,0.31586248,0.28999606,0.3465006,0.36478212,0.36537233,0.44987977,0.46855924,0.40979305,0.48189548,0.49650028,0.58688647,0.4934144,0.4972473,0.536957,0.564604,0.6150344,0.5014477
245,2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,2017-09-19,0.33367687,0.32827276,0.3354597,0.35217866,0.37347034,0.3685275,0.3555511,0.3273469,0.3185979,0.32570794,0.3395113,0.3577473,0.366818,0.35387823,0.3287075,0.32287067,0.31457174,0.32264632,0.34266946,0.35793188,0.35521394,0.31822255,0.31445202,0.3077139,0.31374854,0.3239704,0.34134802,0.34507138,0.324455,0.3169766,0.30772957,0.30572775,0.31010532,0.31738934,0.32067397,0.3282827,0.31824312,0.31141168,0.30640036,0.30014285,0.3021472,0.30551928
247,2017-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,2017-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,2017-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,2017-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2017-11-07,0.6454176,0.6370553,0.629861,0.6199388,0.63770604,0.598938,0.5693464,0.65921843,0.64591336,0.6627065,0.6390291,0.63226914,0.58694816,0.591656,0.7362299,0.74343807,0.7054355,0.65061134,0.63418084,0.6139121,0.63250494,0.7304203,0.74871117,0.74176383,0.71008956,0.68746275,0.7024399,0.6791396,0.7303084,0.7218122,0.72498095,0.7254138,0.7205518,0.7067032,0.704,0.7474546,0.7420807,0.712154,0.69720864,0.73228645,0.7449309,0.73677033
254,2017-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2017-11-21,0.5525203,0.5414409,0.54501426,0.5534396,0.55618966,0.5508285,0.5111736,0.6755636,0.71511436,0.6860414,0.5763089,0.5376502,0.57789373,0.55866605,0.82352245,0.83692837,0.7940197,0.6294979,0.58432096,0.60195524,0.5884461,0.80574435,0.82264155,0.8223264,0.7819427,0.6951976,0.62390685,0.5882195,0.81514317,0.80389017,0.80107105,0.7944844,0.7805147,0.7382839,0.7334846,0.802261,0.79535544,0.77896994,0.74646914,0.79761153,0.79965734,0.78368586
256,2017-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,2017-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,2017-12-12,0.62161607,0.5959436,,0.6219899,0.61236256,0.65762186,0.631826,0.725172,0.7267561,0.74083006,0.6195953,0.57894737,0.6518825,0.6031439,0.8690673,0.8296438,0.7715049,0.6728927,0.5782077,0.57735926,0.59681624,,0.80654997,0.82345146,0.7304157,0.62475276,0.60307705,0.6228421,,,,0.7992629,0.7318216,0.7091347,0.66299546,,,0.81002885,0.6951623,0.72708577,0.773713,0.747975
259,2017-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,2017-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
