,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,date
15,0.09333873,0.09018572,0.0848942,0.08276989,0.08119756,0.078439675,0.07421768,0.072508335,0.07145175,0.07121845,0.07320264,0.09244179,0.089663535,0.08555633,0.0827439,0.08105186,0.07921904,0.0763323,0.07489951,0.07305172,0.07269474,0.074486546,0.08907351,0.08590932,0.08453916,0.08060659,0.08037681,0.07728577,0.07728728,0.075010866,0.07302233,0.069313675,0.06873562,0.08635243,0.0864403,0.08287654,0.0779836,0.07452062,0.073236614,0.074106045,0.07125907,0.0707943,0.06895567,0.06895567,0.086357825,0.086147025,0.08133285,0.07692606,0.07408369,0.07439549,0.070553616,0.06773919,0.06984404,0.06984404,0.06829983,0.085579224,0.08286541,0.07939854,0.07793708,0.07452598,0.07499113,0.07124237,0.067664005,0.06751747,0.06751747,0.06650684,0.08251925,0.08073452,0.07768888,0.077417076,0.07638102,0.07460484,0.07122347,0.06850131,0.06850131,0.06790999,0.06786319,0.07523804,0.07503273,0.073493145,0.07451078,0.07442058,0.07167928,0.0700755,0.06790016,0.06790016,0.0669676,0.06612485,0.07200855,0.0715648,0.071414605,0.0707019,0.071071155,0.06803533,0.06707504,0.06707504,0.068424985,0.067320235,0.065707624,0.072730936,0.07407976,0.06914619,0.069071814,0.06888202,0.068741724,0.0674762,0.0674762,0.06682193,0.065757915,0.06604996,0.07294628,0.072613426,0.07088574,0.06877394,0.06860275,0.06819647,0.06921372,0.06921372,0.067650326,0.06621526,0.06564235,2013-04-16
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-04-23
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-04-30
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-07
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-14
20,0.88272923,0.8787254,0.88786185,0.88566524,0.8727845,0.84970415,0.8509967,0.8587007,0.8586845,0.8584437,0.85953915,0.8716949,0.87906885,0.88165146,0.88205385,0.8731257,0.8571666,0.8575896,0.8678363,0.8740731,0.87001127,0.87332094,0.83153933,0.860525,0.87297684,0.87712806,0.885017,0.8775104,0.85147226,0.8491758,0.8714217,0.88105124,0.88650066,0.8020523,0.87143975,0.88733196,0.8864305,0.88778275,0.8854033,0.8634691,0.88668936,0.89537007,0.88782746,0.88782746,0.86612386,0.8846201,0.88449657,0.88649094,0.8879815,0.8802541,0.8861175,0.8940291,0.89501935,0.89501935,0.8931974,0.8897631,0.88809586,0.8875737,0.88719225,0.8823826,0.8841648,0.8908064,0.8879343,0.8877116,0.8877116,0.8904337,0.8919051,0.891255,0.8866776,0.8834373,0.8788351,0.88929313,0.8926675,0.88551265,0.88551265,0.88097465,0.87687504,0.8944502,0.8912248,0.88692355,0.8838622,0.88515925,0.89213014,0.89190286,0.88864386,0.88864386,0.8824411,0.8506578,0.89464444,0.8943412,0.8920299,0.8912688,0.892966,0.88817596,0.8860906,0.8860906,0.88898534,0.8853895,0.84662515,0.89611214,0.89625335,0.89594185,0.89116305,0.8899461,0.88212115,0.87898254,0.87898254,0.8879458,0.88219243,0.8753458,0.896777,0.8889845,0.8922303,0.887951,0.88723344,0.88106143,0.8807886,0.8807886,0.8812496,0.8770252,0.88010705,2013-05-21
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-28
22,-0.00062967825,1.5340007e-05,0.0006119921,0.0005362026,0.00053513685,0.00077529193,0.0021097418,0.0026588223,0.0038498684,0.004247199,0.005006064,-0.0020148715,-0.00110071,-0.0009306295,-0.001523298,-0.0008068569,-0.0005307064,0.0005117148,0.0015534371,0.0035166866,0.0041828053,0.004391631,-0.0018093116,-0.0015814527,-0.000561092,-9.0565525e-05,-0.0004229495,-0.0005744063,0.0012336088,0.0032519444,0.0032351569,0.0043302844,0.0047594504,-0.00021207341,0.00022704812,0.0006505911,0.0011619293,0.0008133879,6.0226168e-05,0.00076802983,0.0036764364,0.0054601766,0.006022683,0.006022683,3.0224997e-05,-0.00022631354,-0.00048298735,-0.000105600404,0.00089737703,0.0023590857,0.0034227262,0.0042936434,0.0056250123,0.0056250123,0.005644319,0.00063552137,-0.00030068535,0.0011825173,0.0023865912,0.0024887535,0.003190092,0.0033834323,0.0037616252,0.0049746246,0.0049746246,0.0050109387,-0.003337017,-0.0007818263,0.002758192,0.0050512035,0.0055889036,0.0061660595,0.0060123433,0.005347722,0.005347722,0.0052136932,0.0045947563,0.00016381,0.0009016981,0.0022930934,0.0027348527,0.004317723,0.0057843854,0.0061528115,0.005161184,0.005161184,0.005120185,0.0050694277,0.0024088216,0.000951421,0.0016579671,0.002793274,0.003111002,0.0041241003,0.0050167274,0.0050167274,0.007657593,0.0063043586,0.007593245,-0.00025436722,-6.0375198e-05,0.000684901,0.002048764,-0.00012400346,0.0017521066,0.0022247827,0.0022247827,0.0033901464,0.0045446856,0.0074591134,0.0014788149,0.00025607616,0.00060816255,-1.535883e-05,-0.0006634601,-0.00038769408,0.0014488432,0.0014488432,0.0019849208,0.0013867125,0.0012568731,2013-06-04
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-06-11
24,0.9037511,0.90165097,0.9082291,0.9074757,0.8944273,0.86151963,0.8707319,0.8833715,0.88298875,0.87529147,0.8771815,0.89248836,0.9030306,0.9031214,0.90246665,0.8914411,0.87238514,0.8681339,0.88203335,0.8885859,0.8874093,0.8895635,0.8601662,0.875402,0.8923988,0.8986117,0.9033706,0.89266926,0.8636889,0.85615444,0.8852491,0.8959081,0.8985861,0.839468,0.88506,0.9063771,0.90616137,0.90958947,0.90194225,0.8857357,0.90485376,0.9095842,0.902423,0.902423,0.87967265,0.9078729,0.9031208,0.9064174,0.9064554,0.8957633,0.90047354,0.9069632,0.9089591,0.9089591,0.9089166,0.90532184,0.9059999,0.9057241,0.90412253,0.89972293,0.89733624,0.9019627,0.90099555,0.90247524,0.90247524,0.9077232,0.9061822,0.910895,0.90349466,0.89733595,0.89662224,0.90268123,0.90694994,0.8995857,0.8995857,0.89886904,0.892984,0.9103872,0.9115086,0.9020169,0.90190005,0.9023385,0.90716594,0.90845996,0.9070901,0.9070901,0.90655917,0.87905073,0.91193575,0.9119146,0.90979135,0.90739846,0.9099504,0.9087673,0.90764797,0.90764797,0.9107744,0.90447956,0.8787345,0.9128355,0.9140758,0.9139193,0.91275436,0.90992,0.90296674,0.90098476,0.90098476,0.90296596,0.89882827,0.89924043,0.91077,0.90778685,0.91212827,0.91146314,0.90792847,0.90264636,0.90288913,0.90288913,0.9023619,0.8983683,0.90039295,2013-06-18
