,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,date
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-24
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-03
114,0.124810696,0.1319561,0.14088534,0.15442386,0.14990455,0.14284551,0.14391553,0.14710784,0.13792028,0.12005341,0.10656865,0.11808759,0.121261984,0.13132702,0.13832277,0.13216476,0.1296743,0.13217099,0.14733663,0.13929503,0.11479879,0.108624056,0.11223094,0.11230382,0.12359553,0.12651658,0.12652948,0.12169521,0.12356648,0.13992977,0.12838255,0.11324608,0.11680463,0.11264964,0.113769375,0.11752128,0.123449065,0.12267269,0.12041695,0.12172312,0.121652186,0.12199105,0.12070732,0.12070732,0.11363656,0.11617782,0.11876859,0.12086508,0.12207208,0.11972209,0.12232538,0.11699912,0.12665197,0.12665197,0.12824483,0.118628554,0.12624203,0.12978336,0.13351426,0.1268365,0.122501455,0.13146336,0.1253994,0.13228993,0.13228993,0.14154851,0.12050208,0.13164899,0.13642915,0.13792135,0.13728237,0.14512105,0.15235057,0.14817663,0.14817663,0.14633974,0.15071763,0.12670176,0.13839604,0.13683793,0.13976268,0.14453623,0.1617087,0.16457742,0.16423374,0.16423374,0.15791899,0.14904517,0.13601679,0.14852104,0.14554976,0.1475385,0.15169196,0.16892037,0.1680504,0.1680504,0.17009865,0.15923488,0.15269963,0.1504926,0.15170331,0.14778149,0.14648107,0.16253386,0.16811684,0.17502584,0.17502584,0.17978857,0.1697829,0.16173263,0.15956844,0.14869869,0.13799344,0.14999583,0.17162277,0.17564026,0.18071434,0.18071434,0.1807833,0.16804063,0.15961881,2015-03-10
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-17
116,-0.043106053,-0.042946145,-0.043133937,-0.042940836,-0.04233992,-0.04222551,-0.04195172,-0.0423082,-0.041080613,-0.041296378,-0.04100445,-0.04345958,-0.042842124,-0.04355618,-0.042215206,-0.042427182,-0.041935064,-0.042162597,-0.04212549,-0.041427724,-0.041953497,-0.04131183,-0.043432664,-0.042982038,-0.042663656,-0.042746935,-0.04268842,-0.042529587,-0.04240655,-0.04226623,-0.041640684,-0.041709438,-0.041575424,-0.042975,-0.04292242,-0.042764924,-0.04310847,-0.042990044,-0.04237682,-0.04218406,-0.04138644,-0.04168387,-0.042138945,-0.042138945,-0.043030657,-0.0425666,-0.043357223,-0.04261188,-0.042786725,-0.042464204,-0.04235768,-0.04200636,-0.041961454,-0.041961454,-0.041541874,-0.04323515,-0.04283863,-0.04303227,-0.042866055,-0.0427285,-0.043108765,-0.042309698,-0.042023282,-0.04181458,-0.04181458,-0.04183233,-0.042853005,-0.042498406,-0.042916775,-0.042693555,-0.042127218,-0.042458072,-0.04220501,-0.04226585,-0.04226585,-0.04146386,-0.041715853,-0.042521555,-0.042171456,-0.042148173,-0.042795908,-0.04329366,-0.043074492,-0.042862188,-0.04269715,-0.04269715,-0.041966822,-0.041944627,-0.042901665,-0.043085393,-0.042412866,-0.04303605,-0.04327674,-0.04258624,-0.043293003,-0.043293003,-0.04292151,-0.042506147,-0.04117717,-0.0422177,-0.043527868,-0.042678658,-0.04275918,-0.043027718,-0.042705808,-0.041857652,-0.041857652,-0.042220548,-0.0423579,-0.041343022,-0.04288499,-0.0438469,-0.042136896,-0.042411223,-0.042654485,-0.042362254,-0.042250417,-0.042250417,-0.041590247,-0.041925326,-0.042884752,2015-03-24
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-31
118,0.39114243,0.3618941,0.3538033,0.36834753,0.36352468,0.37171444,0.42931125,0.47173002,0.504943,0.5079412,0.5185407,0.33537182,0.31257904,0.33371866,0.3526713,0.38198328,0.39448622,0.4481271,0.5124614,0.5336153,0.5024512,0.507614,0.32624242,0.29703408,0.31461427,0.3449894,0.38422742,0.3759074,0.45926914,0.49362233,0.49671847,0.47291574,0.47794798,0.35513678,0.32210428,0.336089,0.37257,0.4019059,0.36196223,0.4202879,0.45099464,0.48756275,0.49619427,0.49619427,0.35278538,0.34974134,0.3703279,0.40724733,0.3802705,0.35859993,0.3824033,0.45095417,0.47635162,0.47635162,0.5319436,0.33156174,0.34639677,0.37601987,0.40369445,0.38693255,0.37160015,0.40383416,0.47076592,0.47118443,0.47118443,0.50989425,0.33949566,0.35092083,0.40402138,0.44833,0.4466019,0.44216523,0.43829536,0.46684566,0.46684566,0.4519612,0.43573534,0.31366852,0.34602433,0.3939373,0.48697355,0.51985437,0.5502103,0.5230568,0.49835312,0.49835312,0.51110584,0.4338583,0.33671263,0.39485526,0.42080376,0.51359886,0.5614853,0.57817614,0.55389833,0.55389833,0.5446707,0.5403717,0.47078562,0.4171272,0.40322176,0.42942405,0.50408745,0.55396336,0.57456505,0.56714684,0.56714684,0.51819307,0.46163544,0.3919873,0.44643193,0.4345849,0.4147326,0.49138263,0.5484189,0.56290674,0.52054834,0.52054834,0.47392523,0.41175666,0.36450845,2015-04-07
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-14
120,-3.2297306e-05,-0.0015434,-0.0017063944,-0.002832108,-0.0051852423,-0.0058822245,-0.0061489204,-0.005058588,-0.0049251644,-0.0047803055,-0.0040570917,-0.0014147215,-0.0017154375,-0.0024090658,-0.0033395344,-0.0036668298,-0.0035886543,-0.0037801159,-0.0042021065,-0.004456758,-0.0053794775,-0.005226483,-0.0033989016,-0.0034665386,-0.0038433603,-0.0036069518,-0.0037997006,-0.0032145982,-0.002327728,-0.0024317065,-0.0034046068,-0.003367721,-0.0027308231,-0.003156057,-0.0032728827,-0.0037742527,-0.0048942002,-0.004373869,-0.0026903613,-0.0026523268,-0.0050790915,-0.0052113337,-0.005201212,-0.005201212,-0.0039084237,-0.003815821,-0.0036041155,-0.0039695045,-0.0045449175,-0.0054519367,-0.0054363683,-0.005056926,-0.004965475,-0.004965475,-0.0035148803,-0.003326955,-0.0040079956,-0.005217102,-0.0042491686,-0.0058538183,-0.005032019,-0.005501259,-0.0049298843,-0.0047338954,-0.0047338954,-0.0032558006,-0.0036146985,-0.0035926744,-0.0023942268,-0.004699429,-0.0059443424,-0.0051493924,-0.006109418,-0.007630195,-0.007630195,-0.007431281,-0.006430366,-0.0038348082,-0.0010832956,-0.0026147433,-0.0043669264,-0.0048847287,-0.0062639886,-0.0073910183,-0.0075116213,-0.0075116213,-0.009893369,-0.008005717,-0.0019438716,-0.0017410449,-0.0060999813,-0.0057288394,-0.006486624,-0.007694591,-0.008581369,-0.008581369,-0.008168485,-0.008818041,-0.0077329194,-0.0052279523,-0.0054181796,-0.0063449307,-0.00834432,-0.007865694,-0.0075754737,-0.008615349,-0.008615349,-0.008839459,-0.007691773,-0.00829518,-0.006524179,-0.0070268624,-0.0077119265,-0.009011517,-0.009013779,-0.007793447,-0.0076520266,-0.0076520266,-0.008044615,-0.008164392,-0.007924829,2015-04-21
121,-3.2297306e-05,-0.0015434,-0.0017063944,-0.002832108,-0.0051852423,-0.0058822245,-0.0061489204,-0.005058588,-0.0049251644,-0.0047803055,-0.0040570917,-0.0014147215,-0.0017154375,-0.0024090658,-0.0033395344,-0.0036668298,-0.0035886543,-0.0037801159,-0.0042021065,-0.004456758,-0.0053794775,-0.005226483,-0.0033989016,-0.0034665386,-0.0038433603,-0.0036069518,-0.0037997006,-0.0032145982,-0.002327728,-0.0024317065,-0.0034046068,-0.003367721,-0.0027308231,-0.003156057,-0.0032728827,-0.0037742527,-0.0048942002,-0.004373869,-0.0026903613,-0.0026523268,-0.0050790915,-0.0052113337,-0.005201212,-0.005201212,-0.0039084237,-0.003815821,-0.0036041155,-0.0039695045,-0.0045449175,-0.0054519367,-0.0054363683,-0.005056926,-0.004965475,-0.004965475,-0.0035148803,-0.003326955,-0.0040079956,-0.005217102,-0.0042491686,-0.0058538183,-0.005032019,-0.005501259,-0.0049298843,-0.0047338954,-0.0047338954,-0.0032558006,-0.0036146985,-0.0035926744,-0.0023942268,-0.004699429,-0.0059443424,-0.0051493924,-0.006109418,-0.007630195,-0.007630195,-0.007431281,-0.006430366,-0.0038348082,-0.0010832956,-0.0026147433,-0.0043669264,-0.0048847287,-0.0062639886,-0.0073910183,-0.0075116213,-0.0075116213,-0.009893369,-0.008005717,-0.0019438716,-0.0017410449,-0.0060999813,-0.0057288394,-0.006486624,-0.007694591,-0.008581369,-0.008581369,-0.008168485,-0.008818041,-0.0077329194,-0.0052279523,-0.0054181796,-0.0063449307,-0.00834432,-0.007865694,-0.0075754737,-0.008615349,-0.008615349,-0.008839459,-0.007691773,-0.00829518,-0.006524179,-0.0070268624,-0.0077119265,-0.009011517,-0.009013779,-0.007793447,-0.0076520266,-0.0076520266,-0.008044615,-0.008164392,-0.007924829,2015-04-28
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-05
123,0.38732705,0.38815618,0.38758025,0.37913436,0.36743277,0.36002415,0.36027786,0.35313827,0.3492783,0.3506065,0.34690964,0.3893035,0.38549963,0.383643,0.3790881,0.37189302,0.36851496,0.36494303,0.35974535,0.35711855,0.35559753,0.3490748,0.3804147,0.37879732,0.38096368,0.37786397,0.37573087,0.37655857,0.3708742,0.36686894,0.36101103,0.35708907,0.35671556,0.37764674,0.385228,0.38194096,0.37281585,0.3750461,0.37365696,0.37171653,0.37135926,0.3652183,0.35992387,0.35992387,0.3899492,0.39310068,0.38349584,0.37405914,0.37391445,0.3688722,0.36837724,0.3638762,0.35693112,0.35693112,0.35845253,0.39840728,0.39352214,0.39346254,0.3864788,0.37554556,0.36929363,0.3682783,0.36242673,0.35776398,0.35776398,0.35507753,0.39815837,0.39735007,0.39530596,0.38887727,0.38133615,0.37311044,0.36932525,0.36098847,0.36098847,0.35900146,0.3533977,0.40189973,0.40065464,0.39404133,0.39184067,0.38639674,0.37644792,0.36725318,0.3591683,0.3591683,0.3557294,0.3549636,0.40472713,0.4030723,0.39361852,0.39114988,0.38291892,0.36794958,0.35561267,0.35561267,0.35265094,0.3560921,0.36092138,0.41112652,0.4099782,0.3951104,0.38310045,0.36787814,0.3581735,0.34491718,0.34491718,0.34792987,0.35724643,0.3670994,0.40673772,0.40285093,0.38769874,0.3730304,0.36951843,0.3598204,0.34667912,0.34667912,0.352702,0.3630903,0.37234,2015-05-12
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-19
125,0.90408015,0.9049503,0.9061063,0.9067582,0.9013844,0.9036067,0.90767163,0.90534645,0.902423,0.9016857,0.90191144,0.902299,0.90532947,0.90559125,0.9002164,0.89965284,0.8956313,0.8876411,0.89026225,0.89628804,0.9000913,0.9054022,0.87025535,0.88486516,0.8938547,0.89618814,0.9022075,0.89803725,0.88903725,0.8858406,0.89749837,0.9064481,0.9081431,0.8360214,0.8869758,0.9034001,0.9020169,0.9039695,0.90335137,0.8987226,0.9084004,0.91603035,0.9102847,0.9102847,0.8803733,0.9030299,0.8996881,0.90086067,0.8974892,0.90275794,0.9066841,0.9081774,0.9127311,0.9127311,0.91353303,0.9019441,0.9069192,0.90670675,0.9047416,0.9055275,0.90659314,0.90892565,0.9059786,0.90656316,0.90656316,0.91178685,0.9066735,0.9119541,0.90403104,0.8974288,0.9063205,0.9113014,0.9125434,0.9043897,0.9043897,0.9029698,0.9045801,0.90816957,0.9115011,0.8980183,0.8821239,0.91076124,0.91214323,0.91116434,0.90908873,0.90908873,0.90468985,0.9005267,0.9102897,0.90772814,0.84761775,0.8267701,0.8999572,0.907182,0.9067685,0.9067685,0.9103609,0.90528834,0.8993766,0.91626865,0.9104225,0.83943385,0.79385537,0.8747121,0.8998743,0.9004025,0.9004025,0.9034232,0.9014195,0.903281,0.8691114,0.88115895,0.842271,0.7571801,0.8840075,0.89975524,0.9005597,0.9005597,0.9009062,0.8976676,0.90077424,2015-05-26
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-02
127,0.049815,0.04738081,0.044375177,0.041003227,0.03746932,0.038282443,0.03738837,0.037106812,0.035741042,0.033946734,0.033795148,0.048114106,0.04441542,0.041277234,0.038794704,0.03649802,0.035398014,0.03582841,0.03808141,0.039321825,0.038654294,0.03676808,0.050427932,0.04391698,0.041562106,0.040846005,0.04072978,0.039471682,0.040200446,0.039501183,0.040241566,0.040262163,0.03880294,0.050223973,0.04500867,0.044951737,0.04441662,0.044215795,0.04203429,0.041501213,0.042595424,0.041363113,0.041987203,0.041987203,0.048627462,0.04690874,0.04685255,0.04526837,0.045709528,0.04631155,0.043072667,0.042089254,0.04391032,0.04391032,0.044434555,0.05015951,0.056221426,0.052711796,0.049091704,0.046843927,0.047230717,0.042676274,0.040461216,0.042100973,0.042100973,0.045036882,0.058910828,0.05523809,0.052509665,0.04887553,0.045480482,0.04354463,0.04292486,0.043009594,0.043009594,0.042665686,0.04482458,0.05900808,0.055944018,0.052818224,0.048507225,0.04459743,0.041115716,0.04303749,0.04410965,0.04410965,0.04438284,0.04477813,0.058990262,0.056564584,0.051685985,0.049099173,0.0468531,0.047371868,0.04608938,0.04608938,0.044073775,0.045322508,0.047920235,0.05869003,0.05591801,0.054181457,0.052005526,0.049217314,0.046501126,0.044307984,0.044307984,0.044240147,0.04668325,0.04802575,0.058326636,0.055369146,0.053342216,0.05128199,0.049369745,0.04665164,0.044839866,0.044839866,0.045660615,0.046097197,0.04509809,2015-06-09
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-16
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-23
130,0.9082456,0.90215766,0.90566367,0.90453184,0.8991944,0.90051943,0.90296984,0.902078,0.90083325,0.89844567,0.8988658,0.89720863,0.90609926,0.897373,0.9002999,0.89828247,0.891074,0.88466114,0.88694453,0.89368415,0.89704376,0.9021369,0.86719114,0.8833719,0.8918126,0.89398277,0.89969563,0.8927389,0.87816304,0.88109696,0.89104867,0.9016498,0.90415734,0.838961,0.87831783,0.9011225,0.89886785,0.899814,0.8992327,0.89469725,0.9065192,0.91141677,0.9062602,0.9062602,0.8893642,0.89746296,0.8985331,0.900468,0.89414346,0.8999045,0.90329945,0.90940905,0.90923655,0.90923655,0.91058785,0.8983795,0.90679014,0.9068082,0.90433455,0.90194374,0.9062143,0.90658927,0.9035724,0.9007212,0.9007212,0.90787834,0.9056292,0.9076653,0.90403,0.8984519,0.8998719,0.9077625,0.90811193,0.9035105,0.9035105,0.8974638,0.9049795,0.9107438,0.9113428,0.877528,0.88767356,0.9066296,0.9135692,0.91001976,0.9102467,0.9102467,0.9065631,0.8970441,0.91396767,0.91264296,0.83924454,0.85856354,0.90371054,0.906489,0.9040777,0.9040777,0.9086728,0.9031549,0.8967685,0.9127822,0.91292447,0.84968543,0.79011625,0.84266317,0.8988168,0.89981633,0.89981633,0.901405,0.9008768,0.9010482,0.88872224,0.88575494,0.8131297,0.78074324,0.87764144,0.9024601,0.90025705,0.90025705,0.89817506,0.89567715,0.89795554,2015-06-30
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-07
132,0.8877585,0.88271916,0.8887433,0.8882887,0.8810362,0.88148105,0.88164717,0.8823757,0.87779343,0.87825495,0.88438857,0.8760599,0.8876442,0.8824266,0.8836319,0.8790479,0.8699966,0.8581633,0.85798246,0.8768303,0.8819759,0.8869649,0.84481287,0.8563247,0.87358266,0.87674135,0.8829932,0.8731922,0.8526705,0.8544732,0.87542075,0.8879097,0.8912461,0.79964435,0.86976135,0.88435835,0.88364685,0.88584083,0.8846009,0.87699527,0.8911169,0.8960033,0.89345574,0.89345574,0.85986656,0.8842289,0.8825437,0.8831529,0.8838413,0.8851156,0.88918155,0.89412737,0.8954169,0.8954169,0.89651346,0.8798091,0.89037627,0.8911302,0.8885253,0.88922364,0.89136225,0.8932291,0.8897182,0.88910794,0.88910794,0.8957771,0.8868279,0.89716405,0.8916989,0.8796942,0.8883932,0.89325964,0.8954981,0.8867557,0.8867557,0.88580275,0.8869432,0.8917052,0.8978989,0.88160795,0.8657637,0.89316654,0.8980367,0.89548206,0.8978767,0.8978767,0.88924795,0.87753946,0.89729464,0.8971492,0.84697276,0.83011556,0.8856834,0.89023256,0.89009243,0.89009243,0.8895864,0.8843557,0.87585723,0.8974668,0.8957469,0.82820946,0.7854297,0.8519771,0.87892854,0.8787379,0.8787379,0.88394123,0.87930936,0.8826299,0.86323714,0.85406756,0.822102,0.758641,0.86791396,0.88039154,0.87895256,0.87895256,0.876796,0.8757869,0.8791171,2015-07-14
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-21
134,0.03384464,0.033900294,0.031921647,0.030538552,0.030076854,0.031170035,0.0328501,0.031239038,0.029883284,0.03293762,0.033248805,0.0314092,0.03492159,0.036262557,0.034647673,0.035790898,0.034002315,0.03370396,0.03260735,0.030115392,0.03250154,0.03171825,0.031154389,0.03871584,0.041176002,0.036644734,0.038596623,0.039757542,0.03899725,0.036548648,0.03477097,0.0351249,0.037728395,0.033793736,0.032113526,0.031882472,0.0328185,0.0341828,0.035859346,0.0378243,0.035296585,0.038163614,0.03344718,0.03344718,0.039620776,0.03282251,0.027918927,0.026955923,0.023805015,0.022505512,0.025233792,0.030125698,0.031139512,0.031139512,0.029545331,0.043150045,0.034184083,0.02801997,0.026602125,0.024168558,0.0215469,0.023067,0.024633827,0.02616286,0.02616286,0.02529738,0.04439887,0.0328477,0.025345393,0.025107779,0.02496317,0.024080781,0.023286726,0.022937218,0.022937218,0.024496756,0.024825253,0.04448838,0.034865048,0.028297333,0.026768763,0.02559184,0.024570618,0.02419657,0.024885338,0.024885338,0.025448486,0.026193235,0.04052157,0.035122346,0.030327674,0.028004147,0.026356831,0.025703076,0.025157226,0.025157226,0.026108965,0.027360113,0.026907057,0.036509223,0.035097376,0.032292265,0.032321308,0.030150589,0.026118089,0.024852931,0.024852931,0.028972147,0.030040389,0.030165654,0.03570327,0.032870565,0.03230723,0.031191288,0.030054098,0.02690852,0.02726253,0.02726253,0.029215842,0.03077715,0.032272216,2015-07-28
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-04
136,0.89700705,0.89691305,0.89985484,0.8988085,0.8913925,0.8939838,0.89853287,0.89679426,0.8956267,0.89181614,0.9000247,0.89202017,0.90548307,0.8967641,0.89500964,0.8901992,0.8784375,0.8664754,0.8762884,0.8883855,0.8908449,0.90386534,0.86699057,0.8754748,0.88702303,0.8888997,0.89315295,0.89141375,0.86665416,0.8681593,0.8873545,0.8991141,0.9018892,0.8385632,0.85021883,0.89609385,0.89284986,0.89295983,0.8959144,0.88661796,0.90222543,0.9086004,0.90370226,0.90370226,0.87751913,0.88929987,0.8944774,0.8953194,0.88543737,0.90049464,0.8988029,0.906883,0.90451556,0.90451556,0.91131413,0.89002836,0.9045918,0.9027454,0.9011461,0.9001987,0.90357035,0.9023211,0.90213394,0.9030027,0.9030027,0.9045393,0.8985058,0.9049333,0.8989588,0.8938235,0.89924824,0.9051406,0.90309,0.8991613,0.8991613,0.8999348,0.90229714,0.9025091,0.9088302,0.8796253,0.88692236,0.90071017,0.9082673,0.9037527,0.9025795,0.9025795,0.90543085,0.8922981,0.9079193,0.90434384,0.84706336,0.8504628,0.900556,0.9029061,0.90004945,0.90004945,0.9058306,0.9038525,0.8929714,0.90599465,0.90262467,0.85790586,0.8025494,0.86911947,0.88849115,0.8927098,0.8927098,0.89680886,0.8967444,0.8971388,0.8773328,0.86741805,0.8245825,0.8300121,0.88360935,0.89225364,0.89386874,0.89386874,0.89207333,0.88733923,0.8915359,2015-08-11
137,0.89700705,0.89691305,0.89985484,0.8988085,0.8913925,0.8939838,0.89853287,0.89679426,0.8956267,0.89181614,0.9000247,0.89202017,0.90548307,0.8967641,0.89500964,0.8901992,0.8784375,0.8664754,0.8762884,0.8883855,0.8908449,0.90386534,0.86699057,0.8754748,0.88702303,0.8888997,0.89315295,0.89141375,0.86665416,0.8681593,0.8873545,0.8991141,0.9018892,0.8385632,0.85021883,0.89609385,0.89284986,0.89295983,0.8959144,0.88661796,0.90222543,0.9086004,0.90370226,0.90370226,0.87751913,0.88929987,0.8944774,0.8953194,0.88543737,0.90049464,0.8988029,0.906883,0.90451556,0.90451556,0.91131413,0.89002836,0.9045918,0.9027454,0.9011461,0.9001987,0.90357035,0.9023211,0.90213394,0.9030027,0.9030027,0.9045393,0.8985058,0.9049333,0.8989588,0.8938235,0.89924824,0.9051406,0.90309,0.8991613,0.8991613,0.8999348,0.90229714,0.9025091,0.9088302,0.8796253,0.88692236,0.90071017,0.9082673,0.9037527,0.9025795,0.9025795,0.90543085,0.8922981,0.9079193,0.90434384,0.84706336,0.8504628,0.900556,0.9029061,0.90004945,0.90004945,0.9058306,0.9038525,0.8929714,0.90599465,0.90262467,0.85790586,0.8025494,0.86911947,0.88849115,0.8927098,0.8927098,0.89680886,0.8967444,0.8971388,0.8773328,0.86741805,0.8245825,0.8300121,0.88360935,0.89225364,0.89386874,0.89386874,0.89207333,0.88733923,0.8915359,2015-08-18
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-25
139,0.78998095,0.7972371,0.8061636,0.80724907,0.80619365,0.80831903,0.80907005,0.80313885,0.79802805,0.8029788,0.814035,0.8002806,0.8094568,0.8135996,0.8132699,0.8116931,0.7977419,0.7871796,0.79536223,0.8066345,0.8085658,0.8228783,0.78978264,0.80142134,0.8083542,0.8133618,0.8155174,0.80935806,0.79277796,0.7935021,0.8163454,0.82317084,0.82721186,0.77807695,0.7863972,0.82220227,0.8180577,0.8157094,0.8141838,0.80923617,0.82491696,0.83430195,0.8278145,0.8278145,0.7989787,0.8158411,0.81937855,0.81922245,0.809015,0.82114726,0.8227785,0.8260306,0.82896614,0.82896614,0.8337452,0.8114461,0.82216275,0.8237881,0.82146555,0.82138664,0.8243185,0.82300395,0.8216689,0.82255584,0.82255584,0.8225162,0.8196286,0.8260678,0.82148147,0.8154792,0.82229304,0.8299826,0.82589424,0.8219758,0.8219758,0.812202,0.80827206,0.8253385,0.8304401,0.8045031,0.81067467,0.82839745,0.82789695,0.81805855,0.81129223,0.81129223,0.7917969,0.7750942,0.82645106,0.8247953,0.7713304,0.76295286,0.8068191,0.7999234,0.7968093,0.7968093,0.8067251,0.78930515,0.7920931,0.822082,0.81777275,0.78305876,0.7359612,0.76511294,0.7823859,0.7898648,0.7898648,0.7980302,0.79768056,0.80171686,0.7887143,0.78897274,0.7505205,0.739252,0.76856667,0.794948,0.79948205,0.79948205,0.7986909,0.7962431,0.8001319,2015-09-01
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-08
141,0.8473662,0.8503012,0.8594889,0.8612171,0.856564,0.86081636,0.8625875,0.8576649,0.856225,0.8637503,0.8655282,0.8434301,0.86210936,0.8588257,0.8600295,0.8595784,0.850524,0.83583796,0.83773404,0.8515902,0.8649195,0.8716023,0.8187302,0.83873326,0.85769624,0.8556932,0.8652506,0.8544125,0.82782876,0.8246173,0.8512498,0.86885345,0.8743733,0.77714235,0.8486321,0.8675979,0.8591751,0.86251783,0.86616415,0.8542794,0.87067205,0.8800065,0.8806826,0.8806826,0.8388884,0.8614061,0.86485326,0.86262757,0.8621215,0.86892855,0.87348676,0.8739385,0.8820235,0.8820235,0.8820682,0.8565598,0.8745914,0.87472045,0.8690156,0.8701644,0.8738475,0.870357,0.86954355,0.8726451,0.8726451,0.87380546,0.86917156,0.87632483,0.8710731,0.86134434,0.8723889,0.871976,0.8713545,0.8665719,0.8665719,0.86793023,0.8626333,0.86624855,0.8783695,0.86241233,0.84392285,0.87408036,0.86942196,0.8707027,0.86248803,0.86248803,0.8591017,0.8545282,0.8759924,0.8769535,0.82857174,0.8173442,0.86631155,0.8627212,0.8611692,0.8611692,0.85643727,0.84998417,0.8580111,0.86808306,0.87350035,0.8184909,0.82443565,0.85275227,0.8464413,0.8488899,0.8488899,0.8532124,0.85585606,0.8568952,0.8445806,0.84076434,0.82843214,0.82200027,0.848332,0.84883225,0.85064834,0.85064834,0.84646755,0.8500763,0.85208666,2015-09-15
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-22
