,0,date
0,0.2944673999829412,2017-01-01
1,0.309522123337425,2017-01-08
2,0.3246688777612888,2017-01-15
3,0.34000975828388014,2017-01-22
4,0.35564685993454664,2017-01-29
5,0.371739454532743,2017-02-05
6,0.3891477081676472,2017-02-12
7,0.40920178861375456,2017-02-19
8,0.4332405375763856,2017-02-26
9,0.46259171899987606,2017-03-05
10,0.4977553975326176,2017-03-12
11,0.5378449798991932,2017-03-19
12,0.5818415856259576,2017-03-26
13,0.6287263342392656,2017-04-02
14,0.6772813027980391,2017-04-09
15,0.7253813437113191,2017-04-16
16,0.7706429729024291,2017-04-23
17,0.8106826876017481,2017-04-30
18,0.8432369137333526,2017-05-07
19,0.8677761919369946,2017-05-14
20,0.885075768160094,2017-05-21
21,0.8959427498725585,2017-05-28
22,0.9011850667961977,2017-06-04
23,0.9017002017824836,2017-06-11
24,0.8985544581799858,2017-06-18
25,0.8928328417613349,2017-06-25
26,0.8856203582991614,2017-07-02
27,0.8778772432136034,2017-07-09
28,0.869915157821679,2017-07-16
29,0.8618356841718167,2017-07-23
30,0.8537402965311223,2017-07-30
31,0.8457112090981637,2017-08-06
32,0.8374986650767793,2017-08-13
33,0.8285729309712546,2017-08-20
34,0.8183955067549062,2017-08-27
35,0.8064283175336103,2017-09-03
36,0.7922062479625465,2017-09-10
37,0.7754192472471186,2017-09-17
38,0.7557770995774193,2017-09-24
39,0.7329895891435413,2017-10-01
40,0.7068202813251303,2017-10-08
41,0.6773521143733465,2017-10-15
42,0.6447854577667403,2017-10-22
43,0.6093208624953769,2017-10-29
44,0.5711725701867789,2017-11-05
45,0.530839750937735,2017-11-12
46,0.4890907923570793,2017-11-19
47,0.4467046273305292,2017-11-26
48,0.4044602463653677,2017-12-03
49,0.3631541308145792,2017-12-10
50,0.32362476455000033,2017-12-17
51,0.28671680685452794,2017-12-24
52,0.2532749170110597,2018-01-01
53,0.22416323722664738,2018-01-08
54,0.2003784242698961,2018-01-15
55,0.18297231711783196,2018-01-22
56,0.17299693653887155,2018-01-29
57,0.17148083411223985,2018-02-05
58,0.17885340059918425,2018-02-12
59,0.19490990020130106,2018-02-19
60,0.21941512772956112,2018-02-26
61,0.25213345235739976,2018-03-05
62,0.29255387153762025,2018-03-12
63,0.339416465598449,2018-03-19
64,0.3913352000430007,2018-03-26
65,0.4469240403743887,2018-04-02
66,0.5047648289054553,2018-04-09
67,0.5631882775282475,2018-04-16
68,0.6204069385535849,2018-04-23
69,0.6746326757808361,2018-04-30
70,0.7240928029203184,2018-05-07
71,0.7675080574883545,2018-05-14
72,0.8041842342291137,2018-05-21
73,0.8334610713411225,2018-05-28
74,0.8546785777184152,2018-06-04
75,0.8677043816378628,2018-06-11
76,0.8740350215982141,2018-06-18
77,0.8754803999861447,2018-06-25
78,0.8738504191883303,2018-07-02
79,0.8708217618681722,2018-07-09
80,0.8668685810151899,2018-07-16
81,0.8618271313917445,2018-07-23
82,0.8555278107562829,2018-07-30
83,0.847796202387763,2018-08-06
84,0.838260740262382,2018-08-13
85,0.8262878225501724,2018-08-20
86,0.811225725429783,2018-08-27
87,0.7924227478353731,2018-09-03
88,0.7695416698456674,2018-09-10
89,0.7433496646934611,2018-09-17
90,0.7148562062792301,2018-09-24
91,0.685070768503449,2018-10-01
92,0.65500276529891,2018-10-08
93,0.6256609820064788,2018-10-15
94,0.5980538287590608,2018-10-22
95,0.5731897106678533,2018-10-29
96,0.5520651788849702,2018-11-05
97,0.5350344713070261,2018-11-12
98,0.5214939703713621,2018-11-19
99,0.5107619196248863,2018-11-26
100,0.5021565626145061,2018-12-03
101,0.49501398458735557,2018-12-10
102,0.4887416375914742,2018-12-17
103,0.4827648153751283,2018-12-24
104,0.47650881168658343,2019-01-01
105,0.46944106963794485,2019-01-08
106,0.46154571485412965,2019-01-15
107,0.4531533469751611,2019-01-22
108,0.4446009598556655,2019-01-29
109,0.4362292153809889,2019-02-05
110,0.4286528404256705,2019-02-12
111,0.4229457073422802,2019-02-19
112,0.42022549097268647,2019-02-26
113,0.4216098661587577,2019-03-05
114,0.42815841438063995,2019-03-12
115,0.44066593076193716,2019-03-19
116,0.459851811265941,2019-03-26
117,0.48643544640014363,2019-04-02
118,0.5210204401090777,2019-04-09
119,0.5625361749602743,2019-04-16
120,0.6086523904901294,2019-04-23
121,0.657008065154719,2019-04-30
122,0.7052437827426726,2019-05-07
123,0.7511749670808878,2019-05-14
124,0.7929466405517266,2019-05-21
125,0.8287403394209932,2019-05-28
126,0.8567375999544923,2019-06-04
127,0.8755885925191599,2019-06-11
128,0.8863795144367321,2019-06-18
129,0.8909856151333535,2019-06-25
130,0.8912825488589257,2019-07-02
131,0.8891091801160134,2019-07-09
132,0.885670256815408,2019-07-16
133,0.8816357275230322,2019-07-23
134,0.8776587953576829,2019-07-30
135,0.8743880090708853,2019-08-06
136,0.871673153520568,2019-08-13
137,0.8676663610287284,2019-08-20
138,0.860302609757964,2019-08-27
139,0.8475168778708722,2019-09-03
140,0.8275968266029128,2019-09-10
141,0.8009244815323575,2019-09-17
142,0.7686519517270729,2019-09-24
143,0.7319325365602973,2019-10-01
144,0.6919509938400569,2019-10-08
145,0.6505467918432751,2019-10-15
146,0.610178008577245,2019-10-22
147,0.5733269530542953,2019-10-29
148,0.542472847409384,2019-11-05
149,0.5191579017986382,2019-11-12
150,0.5026741857061023,2019-11-19
151,0.49198294218030375,2019-11-26
152,0.48604541426976866,2019-12-03
153,0.4838062676191558,2019-12-10
154,0.4840974154244765,2019-12-17
155,0.4857038180861524,2019-12-24
