,0,1,2,3,4,5,6,7,8,date
0,0.2040990750942616,0.41948677197547424,0.23099206534732714,0.3192525559746742,0.35915265717913547,0.13815341581173088,0.35929556400645213,0.2964258086186848,0.49172252089252255,2017-01-01
1,0.18954952728785493,0.3820252085081335,0.21491553706370164,0.30561256870085846,0.3353036404298302,0.15668726679756922,0.3406736587521053,0.2816783135005179,0.46653738698489183,2017-01-08
2,0.17581796366809724,0.34685811181045373,0.1999400889600471,0.2924274941191877,0.31310868749509807,0.1752211177834076,0.3234953081642334,0.2676332468855521,0.44328683263912527,2017-01-15
3,0.16345547640110475,0.31530692609988886,0.18670531697933535,0.27993638913070257,0.2934542355252492,0.19375496876924594,0.30857273295801313,0.25483052664000094,0.42313938636839366,2017-01-22
4,0.1530131576529937,0.2886930955938928,0.17585081706453803,0.2683783106364436,0.27722672167059353,0.21228881975508432,0.2967181538486212,0.24381007063007767,0.40726357668586766,2017-01-29
5,0.14504433332646752,0.26831446528253666,0.16801798540638416,0.25800286708292897,0.26529430160987166,0.23082267074092266,0.2887315337285211,0.2351113924740756,0.3968091404617395,2017-02-05
6,0.14013653222262484,0.25510752959155486,0.1638757835278275,0.2492212318209506,0.25824520575302823,0.24935652172676104,0.285225144127101,0.2292678159599283,0.39263807757019775,2017-02-12
7,0.13890401710071976,0.24972634106837083,0.16411471879947814,0.24257086192557173,0.25644886695852037,0.2678903727125994,0.2866645516662111,0.2268078267281142,0.39538748446578365,2017-02-19
8,0.1419617621865486,0.25281743567998244,0.16942587198813575,0.23859257524036365,0.26026889526064595,0.28686281070950836,0.29351141873351766,0.22825978166226935,0.4056884722843885,2017-02-26
9,0.1499224791558378,0.26502434515086865,0.18049816334762137,0.23782659125318234,0.2700669213227651,0.3068560504649291,0.30622540099565204,0.23415099753737095,0.4241693937071191,2017-03-05
10,0.16284011117409358,0.28624866133025934,0.19748694411407824,0.24066535710598946,0.28571574236111197,0.3280855335834174,0.3247705661815713,0.2447519216900369,0.4507773622721492,2017-03-12
11,0.17948062547007454,0.31468178537418023,0.2193176750720698,0.24716070084330696,0.3059613817930042,0.35076670166952917,0.34796863894507324,0.25974091072621364,0.48388921758986364,2017-03-19
12,0.19842913356335198,0.3482749759469842,0.2447431175763822,0.25731662127102556,0.32939164309648666,0.3750363516907002,0.37448093778554026,0.27871318073194834,0.5216613036878291,2017-03-26
13,0.2182707469734973,0.3849794917130244,0.2725160329818017,0.27113711719503597,0.35459432974960464,0.40020691355021976,0.4029687812023551,0.3012639477932882,0.5622499645936128,2017-04-02
14,0.2376359639040215,0.42275891277220434,0.30136028137414617,0.2884977557445765,0.38019946045898817,0.4250987505595531,0.43209003788037403,0.3268651984986072,0.6038234577123835,2017-04-09
15,0.2555101033884881,0.4596731448779025,0.32977378052852213,0.30827005990731976,0.40516708118038935,0.4485256403098208,0.4604756067867436,0.354025544524172,0.6446431760160145,2017-04-16
16,0.27104543150159144,0.49382741604608865,0.3561481399172397,0.32885313903452795,0.4286125192624971,0.4693098538420344,0.4867436973445063,0.38080031922250357,0.683014333768615,2017-04-23
17,0.28339518711217754,0.5233272183838582,0.3788743495581134,0.34864334974090955,0.44965200687285706,0.48662146256228245,0.5095124450352069,0.40524221471031896,0.7172424005793219,2017-04-30
18,0.29172456383649,0.5463033451222419,0.39636171679711857,0.3660599716206736,0.46740684317275705,0.50009280757668,0.5274163254993808,0.42542621217861776,0.7456522995432965,2017-05-07
19,0.2957341009319251,0.5620195993305172,0.4078398174027042,0.3805487984008633,0.48122523241176685,0.5093881998493666,0.5398215431712032,0.4404254200364687,0.7674401004727399,2017-05-14
20,0.2958636193437689,0.571304405812456,0.4136709708835733,0.3929731810695278,0.49076872177859815,0.5141721144648652,0.5471047780655878,0.4506913032494887,0.7830048769326923,2017-05-21
21,0.2926070186530228,0.575100641833183,0.414300357229206,0.4043001652739771,0.4957217795743579,0.5144289176489747,0.5497166267325452,0.45677615390146714,0.7928337025060213,2017-05-28
22,0.2864581984406883,0.5743511846578229,0.41017315642908225,0.41549679666152134,0.49576887410015313,0.5111305700314586,0.5481076857220868,0.4592322640761934,0.7974136507755948,2017-06-04
23,0.27799076046845117,0.5700412453164445,0.40193145506470307,0.4273260813328693,0.4908375903825608,0.5054390221003084,0.5428412364514363,0.45872497165234316,0.7972843482986198,2017-06-11
24,0.2681260934955302,0.5633407616919799,0.3910765577696384,0.43966068210475595,0.48191637320475567,0.4985162243435163,0.5349722699911645,0.4564128990994232,0.7932147408428942,2017-06-18
25,0.2578804241991097,0.5554700447699847,0.37934406905558754,0.45213047438689424,0.47028295283580845,0.4914830103656183,0.5256898615498284,0.4535891824940932,0.7860363071536884,2017-06-25
26,0.24826998137637427,0.5476494066620514,0.3684695986717716,0.46436532816174597,0.45721506601145545,0.4851387730874412,0.5161830893332919,0.45154696091991975,0.77658052737413,2017-07-02
27,0.24029401102722542,0.5410603867112161,0.3601234592292702,0.4759907244274489,0.4439850689165594,0.48013166410884267,0.5076211755524301,0.45152498553329146,0.7656891952664494,2017-07-09
28,0.23465903973076926,0.5362162278564743,0.3548504867678674,0.48655649463349243,0.43177257731700924,0.47710895375217155,0.5008310998973013,0.4538245646019375,0.7543818725164921,2017-07-16
29,0.23182472124098358,0.5330665472246356,0.3522463162800919,0.4955486691404477,0.4216789918429392,0.4766981220039411,0.49635120258961807,0.4579563886283209,0.7438280461871105,2017-07-23
