,0,1,2,3,4,5,6,7,8,9,date
0,0.5282563057207923,0.3858702395634632,0.3447071551378432,0.5699817352454615,0.16284051267206356,0.49527298045743257,0.7706326690716133,0.1562598990051135,0.089132519724892,-0.27601049574575787,2017-01-01
1,0.5166009331438611,0.4179741673296521,0.38113440571199364,0.5537581761623598,0.20686418039919763,0.47288148783251216,0.7205648911510716,0.20196312991133314,0.13197898830968502,-0.1975887123028922,2017-01-08
2,0.5065955300240575,0.4500780950958408,0.417561656286144,0.5390897587249108,0.25088784812633147,0.45350347897542886,0.6737802079566053,0.24766636081755256,0.17482545689447815,-0.11916692886002678,2017-01-15
3,0.499112817589308,0.4821820228620296,0.4539889068602944,0.5268031760345688,0.2949115158534655,0.43872948236856174,0.6320214635532283,0.2933695917237722,0.217671925479271,-0.040745145417161344,2017-01-22
4,0.49502551706753894,0.5142859506282185,0.49041615743444483,0.5177251211927874,0.3389351835805994,0.43015002649429007,0.5970315020059542,0.33907282262999167,0.2607171679661386,0.03767663802570409,2017-01-29
5,0.49519563739904415,0.5463898783944072,0.5268434080085953,0.5126740852393346,0.3829588513077334,0.4293151015925987,0.5705126429931152,0.3847760535362113,0.30434988140967306,0.11609842146856963,2017-02-05
6,0.5002888798555332,0.578493806160596,0.5632706585827456,0.5123429695253501,0.4269825190348673,0.4370318156988726,0.5535466981671159,0.43047928444243083,0.34885495053865145,0.19452020491143507,2017-02-12
7,0.5107989860828722,0.6105977339267848,0.5996979091568961,0.517326510929427,0.47100618676200123,0.45345653433359673,0.5467304724593337,0.47618251534865047,0.39451726008185084,0.2729419883543006,2017-02-19
8,0.5272138818324663,0.6427016616929737,0.6361251597310464,0.5282168338947885,0.5150298544891352,0.47872361407318254,0.5506478633950377,0.52188574625487,0.44159194172717,0.3513637717971661,2017-02-26
9,0.5500211528910899,0.6747114604915853,0.6722852093927048,0.5456040355298684,0.5589863764517786,0.512966868088523,0.5658789505277445,0.5675491735635333,0.48994916471313443,0.4288922642786223,2017-03-05
10,0.579274653610201,0.7063986865995202,0.7076139663816013,0.5695775341493943,0.6025726517352724,0.5556268255018065,0.5920609116753476,0.6129822245102783,0.5391908221389718,0.503828660381742,2017-03-12
11,0.6137449174527669,0.737561867883495,0.7416660944260709,0.5990726704374851,0.6454347476143635,0.6040927324778061,0.6266575116519861,0.6579587453448964,0.588913349608797,0.5749646884232483,2017-03-19
12,0.6519662589589021,0.7679995322102262,0.7739962572544475,0.632862731174622,0.6872187313637986,0.6553762586491793,0.6668273277764933,0.7022525823171792,0.6387105482901145,0.6410920767198642,2017-03-26
13,0.6924729926687213,0.7974813584289157,0.8041638006807981,0.6697210031412864,0.7275552974899778,0.706489073648584,0.7097289373677025,0.745575726575818,0.687925014162681,0.7010661354705683,2017-04-02
14,0.7337994050629835,0.8254416555601548,0.8317824997658253,0.7083887983559856,0.7658964320672621,0.7545530129575829,0.7526399360415759,0.7870237496882605,0.7354441418272686,0.7543758027649644,2017-04-09
15,0.7744794386604741,0.8510983649931739,0.8565012452132235,0.7473574587887577,0.8015788254074081,0.7980403658357784,0.7937683722983416,0.8253384032529586,0.7801073153034757,0.8008737140952662,2017-04-16
16,0.8130468053279191,0.8736658219900135,0.8779695129874032,0.7850007127961521,0.8339372462261285,0.8363290011416362,0.8317600827915238,0.8592572327908898,0.8207539186109007,0.840416828450343,2017-04-23
17,0.8480352126753357,0.8923643584770391,0.8958402346273977,0.8196916034046012,0.8623094888622671,0.8688135003009224,0.865263455149808,0.8875364693233009,0.8563112802153863,0.8728699174149943,2017-04-30
18,0.8779804987247543,0.9067741062400922,0.9099736761495902,0.8498173885556768,0.8862148850425298,0.8948902440283273,0.8929421181452066,0.909578691024061,0.886163876368349,0.8983679968308618,2017-05-07
19,0.9018539091116315,0.9170328868472024,0.9205514720102562,0.8744018844223068,0.9054541494448086,0.9143233466466488,0.9141422143139217,0.9255825225084449,0.9098442578002344,0.9173789175773791,2017-05-14
20,0.9195902847625397,0.9233264951809964,0.9277829012626511,0.8933479576590916,0.9198522017320439,0.9276907492521075,0.929152398634232,0.9357956216451305,0.9268850512112069,0.9303910318312667,2017-05-21
21,0.931253638360105,0.9258407261241004,0.9318772429600303,0.9066227776776895,0.9292339615671756,0.9356794879462802,0.9383302710993505,0.9404659768028105,0.9368720548646561,0.937892748234055,2017-05-28
22,0.9369079825869527,0.9248790179698527,0.9330796162760628,0.9141935138897589,0.9335709308270392,0.9389765988307441,0.9420334317024901,0.940055397619064,0.9403654607267418,0.9404090060680641,2017-06-04
23,0.9367180976718791,0.9212153826544374,0.9317785008660725,0.916187571277842,0.9334209402440492,0.9382769671901428,0.9407507838563229,0.9356072146280222,0.9387790004025025,0.9385640954944776,2017-06-11
24,0.9317152932184938,0.9157414755247502,0.9283982165057965,0.9134315558703877,0.9294884027645152,0.9343429757123416,0.9355441842055081,0.9282626842941515,0.9335552732991353,0.9329990369885572,2017-06-18
25,0.9233726283647834,0.9093489519276867,0.9233630829709719,0.9069427385910362,0.922477731334747,0.9279714167051356,0.9276317278164936,0.919163063081918,0.9261357141349142,0.9243548510255647,2017-06-25
26,0.9131666831789408,0.9028922087947643,0.9170996315972921,0.8977383946255362,0.9131108245857773,0.9199593567355113,0.9182315132482697,0.9093460766603401,0.9176741213441029,0.9133200534788295,2017-07-02
27,0.9025693994762642,0.8967925139787235,0.9100601031049381,0.8868328560299777,0.902312852233552,0.9111022973063633,0.9085375175510129,0.8991766560003844,0.9086612842515316,0.9008918089852078,2017-07-09
