,0,1,2,3,4,date
0,0.49353970813269643,0.5856811577870571,0.6172283142520066,0.5351470525120474,0.7796722864287506,2017-01-01
1,0.46567802197436736,0.5512004594157044,0.5830943011116683,0.5240894317796445,0.723335122786072,2017-01-08
2,0.4402256125820995,0.5183335018617922,0.5501578144923354,0.5142461216163625,0.6689784547277924,2017-01-15
3,0.4184573272728543,0.4883969895868418,0.5197132554852556,0.5062596634152146,0.6181668421916113,2017-01-22
4,0.40164801336359296,0.4627076270523742,0.49305502518167665,0.5007725985692136,0.5724648451152281,2017-01-29
5,0.391066836053438,0.442588464453365,0.4714943952432208,0.49842824110463024,0.5334442747345147,2017-02-05
6,0.38787883308117593,0.4294788405108785,0.45660095892935965,0.49988406391264656,0.502809825707381,2017-02-12
7,0.39315782965554574,0.4249199592046337,0.45014622100740637,0.505809942625153,0.48238259458117516,2017-02-19
8,0.40797456606087007,0.4304564697276703,0.4539070596832617,0.5168761723505921,0.4739876147640097,2017-02-26
9,0.4333991246042326,0.4476322790837031,0.46965540970109654,0.5337527660272782,0.4794490698014615,2017-03-05
10,0.4696621314063301,0.4770443991820785,0.4979423485154758,0.5567497401593751,0.49950687721889986,2017-03-12
11,0.5145104367504507,0.5164881767659405,0.536504845802064,0.5851119568580045,0.5316928374463769,2017-03-19
12,0.5652337060815599,0.5632432603351567,0.5826847183120325,0.6178882168862243,0.5729482376826577,2017-03-26
13,0.6191216048446236,0.6145892983895952,0.6338237827965528,0.6541273210070923,0.6202143651265076,2017-04-02
14,0.6735094170568962,0.6678316023267293,0.6872768146532474,0.6928525461607062,0.6704637535626745,2017-04-09
15,0.7262916360905106,0.7205900688476587,0.7404998964758375,0.7327742888120539,0.7210519689996924,2017-04-16
16,0.7757377467401182,0.770695547473712,0.79099677699036,0.7723931358200854,0.7695914290119967,2017-04-23
17,0.8201241543067437,0.8159827808828322,0.8362714826716192,0.8102058019852755,0.813699291396845,2017-04-30
18,0.8577304177406873,0.8542903143566036,0.8738578189407219,0.8447103365108847,0.8509969205263471,2017-05-07
19,0.8874806299584993,0.8842338586105114,0.9026231224571526,0.874677510087348,0.8799654087060599,2017-05-14
20,0.9097252941545773,0.9061490597250468,0.9232762601908665,0.8994816500098166,0.9009885016696513,2017-05-21
21,0.9250061264963789,0.9206021243422187,0.936660807503018,0.9185779914683101,0.9147049994113641,2017-05-28
22,0.9338648431513623,0.9281592591040361,0.9436203397547615,0.9314217696528477,0.9217537019254416,2017-06-04
23,0.9368898020674855,0.9294417852880192,0.9450037640616876,0.9375591452507654,0.9228197351413083,2017-06-11
24,0.9350704473998549,0.9255449709181118,0.9416832530868415,0.9373181736897098,0.9189865951499789,2017-06-18
25,0.929600693746707,0.9178056981638802,0.9345373237674836,0.9314255138924927,0.9115408638679537,2017-06-25
26,0.921676085421995,0.9075627749615914,0.9244444931826934,0.9206110018199917,0.9017707418914638,2017-07-02
27,0.91248994285483,0.8961527219169317,0.9122891786150155,0.9056097365481411,0.8909615312098536,2017-07-09
28,0.9030694240231573,0.8847411566964377,0.8990574946181767,0.8875500623793662,0.880181958018609,2017-07-16
29,0.8941633122818226,0.8742073805278924,0.8858213248847491,0.8682191336597691,0.8701379156074373,2017-07-23
30,0.8864938340401445,0.8654033800441527,0.873655238680115,0.8494669552289636,0.8615006829983838,2017-07-30
31,0.8807832157074416,0.8591811418780761,0.8636328950570528,0.833143531926563,0.8549415392134936,2017-08-06
32,0.8775885700688905,0.856187829569866,0.8564814595437921,0.8208446078591162,0.8509670596656501,2017-08-13
33,0.8764414674586594,0.8557984234734196,0.8520610124562192,0.8125866802555283,0.8490608239737327,2017-08-20
34,0.8764803172663375,0.8569001886435614,0.8500982055591118,0.8077808124170036,0.8483142271207971,2017-08-27
35,0.8768427249355208,0.8583793928418548,0.8503196906172468,0.8058368296372921,0.8478178621402878,2017-09-03
36,0.876663037811862,0.8591235941572958,0.8523741522636992,0.8061523033222601,0.8466650708025065,2017-09-10
37,0.8749531774501873,0.8580688358254508,0.8552398131379999,0.8076643546578074,0.8440524809941862,2017-09-17
38,0.870568436264954,0.8542131920214198,0.8575530998805196,0.808721013906671,0.8393088628207832,2017-09-24
39,0.8623538774719867,0.8465587880617464,0.8579477148732794,0.8076318387456372,0.8317716163846993,2017-10-01
40,0.8491545642871104,0.8341077492629744,0.8550669806962823,0.802706386851492,0.8207781417883366,2017-10-08
41,0.8300832733146132,0.8161824665731945,0.8480754956182519,0.7925790928830255,0.8059136954566283,2017-10-15
42,0.8054730041003946,0.7935650841238093,0.836915214999564,0.777365162964804,0.7878932493386821,2017-10-22
43,0.7760042204116689,0.7674534176303672,0.8215915085915922,0.7576014598603201,0.7677534671921504,2017-10-29
44,0.7423574111577796,0.7390453128859554,0.8021097461457093,0.7338248768436773,0.7465310360519511,2017-11-05
45,0.7052352723228861,0.7095290796434885,0.7785695819656816,0.7065875379586921,0.7252391789146987,2017-11-12
46,0.6658342940759909,0.6798809852674748,0.7515195983765666,0.6767802370459562,0.7043693748839925,2017-11-19
47,0.6258355138226783,0.6508692255077813,0.7216418475509335,0.6456260957036131,0.6839011295138768,2017-11-26
48,0.5869403264465176,0.6232532543178224,0.6896184036339013,0.6143621977495803,0.6637924386076908,2017-12-03
49,0.5508500579127209,0.5977925089181492,0.6561210946986027,0.5842255866254886,0.644001325901031,2017-12-10
50,0.5188473971726777,0.5751447845873908,0.6216218147859484,0.5562080444387135,0.624655486576415,2017-12-17
51,0.49080694071525066,0.5556260022653771,0.5864105621939518,0.5304764127760576,0.6064533085110441,2017-12-24
